id,question title,CPE,UVA,,,,,,,CPE,UVA
24,Back to High School Physics,10411,10071,"(CPE10411, UVA10071)",10,CPE10411,UVA10071,10411,10071,10411,10071
25,An Easy Problem!,10413,10093,"(CPE10413, UVA10093)",10,CPE10413,UVA10093,10413,10093,10413,10093
26,Fibonaccimal Base,10401,948,"(CPE10401, UVA948)",10,CPE10401,UVA948,10401,948,10401,948
27,Funny Encryption Method,10403,10019,"(CPE10403, UVA10019)",10,CPE10403,UVA10019,10403,10019,10403,10019
28,Parity,10461,10931,"(CPE10461, UVA10931)",10,CPE10461,UVA10931,10461,10931,10461,10931
29,Cheapest Base,10466,11005,"(CPE10466, UVA11005)",10,CPE10466,UVA11005,10466,11005,10466,11005
30,Hartals,10517,10050,"(CPE10517, UVA10050)",10,CPE10517,UVA10050,10517,10050,10517,10050
31,All You Need Is Love!,10421,10193,"(CPE10421, UVA10193)",10,CPE10421,UVA10193,10421,10193,10421,10193
32,"Divide, But Not Quite Conquer!",10419,10190,"(CPE10419, UVA10190)",10,CPE10419,UVA10190,10419,10190,10419,10190
33,Simply Emirp,10428,10235,"(CPE10428, UVA10235)",10,CPE10428,UVA10235,10428,10235,10428,10235
34,2 the 9s,10458,10922,"(CPE10458, UVA10922)",10,CPE10458,UVA10922,10458,10922,10458,10922
35,GCD,11076,11417,"(CPE11076, UVA11417)",10,CPE11076,UVA11417,11076,11417,11076,11417
36,Largest Square,10456,10908,"(CPE10456, UVA10908)",10,CPE10456,UVA10908,10456,10908,10456,10908
37,Satellites,10424,10221,"(CPE10424, UVA10221)",10,CPE10424,UVA10221,10424,10221,10424,10221
38,Can You Solve It?,10447,10642,"(CPE10447, UVA10642)",10,CPE10447,UVA10642,10447,10642,10447,10642
39,Fourth Point!!,10566,10242,"(CPE10566, UVA10242)",10,CPE10566,UVA10242,10566,10242,10566,10242
40,A mid-summer night?™s dream,10409,10057,"(CPE10409, UVA10057)",10,CPE10409,UVA10057,10409,10057,10409,10057
41,Tell me the frequencies!,10410,10062,"(CPE10410, UVA10062)",10,CPE10410,UVA10062,10410,10062,10410,10062
42,Train Swapping,22811,299,"(CPE22811, UVA299)",10,CPE22811,UVA299,22811,299,22811,299
43,Hardwood Species,10426,10226,"(CPE10426, UVA10226)",10,CPE10426,UVA10226,10426,10226,10426,10226
44,Minesweeper,10418,10189,"(CPE10418, UVA10189)",10,CPE10418,UVA10189,10418,10189,10418,10189
45,Die Game,11019,10409,"(CPE11019, UVA10409)",10,CPE11019,UVA10409,11019,10409,11019,10409
46,Eb Alto Saxophone Player,11020,10415,"(CPE11020, UVA10415)",10,CPE11020,UVA10415,11020,10415,11020,10415
47,Mutant Flatworld Explorers,23641,118,"(CPE23641, UVA118)",10,CPE23641,UVA118,23641,118,23641,118
48,Cola,11067,11150,"(CPE11067, UVA11150)",10,CPE11067,UVA11150,11067,11150,11067,11150
49,Sort! Sort!! and Sort!!!,11069,11321,"(CPE11069, UVA11321)",10,CPE11069,UVA11321,11069,11321,11069,11321
